date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:05	278700/278700	---M-Z	200	added ('OK')	text/html	etag:%220bb94dc5baed61:0%22	http://frontendmatters.org/quicky/light-skin/index.html	C:/Users/guilh/Desktop/chat3.1/frontendmatters.org/quicky/light-skin/index.html	(from )
16:35:06	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Oct%202020%2019:35:02%20GMT	http://frontendmatters.org/robots.txt		(from )
16:35:07	5011/5011	---M--	200	added ('OK')	image/png	etag:%220d3ad4e693ad61:0%22	http://frontendmatters.org/quicky/apple-touch-icon.png	C:/Users/guilh/Desktop/chat3.1/frontendmatters.org/quicky/apple-touch-icon.png	(from http://frontendmatters.org/quicky/light-skin/index.html)
16:35:07	1571/1571	---M--	200	added ('OK')	image/png	etag:%220d3ad4e693ad61:0%22	http://frontendmatters.org/quicky/favicon-32x32.png	C:/Users/guilh/Desktop/chat3.1/frontendmatters.org/quicky/favicon-32x32.png	(from http://frontendmatters.org/quicky/light-skin/index.html)
16:35:07	1091/1091	---M--	200	added ('OK')	image/png	etag:%220d3ad4e693ad61:0%22	http://frontendmatters.org/quicky/favicon-16x16.png	C:/Users/guilh/Desktop/chat3.1/frontendmatters.org/quicky/favicon-16x16.png	(from http://frontendmatters.org/quicky/light-skin/index.html)
16:35:08	877/877	---M-Z	200	added ('OK')	text/css	etag:%220eac9d9433dd61:0%22	http://frontendmatters.org/quicky/assets/webfonts/inter/inter.css	C:/Users/guilh/Desktop/chat3.1/frontendmatters.org/quicky/assets/webfonts/inter/inter.css	(from http://frontendmatters.org/quicky/light-skin/index.html)
16:35:11	442981/442981	---M-Z	200	added ('OK')	text/html	etag:%220bb94dc5baed61:0%22	http://frontendmatters.org/quicky/light-skin/chat-1.html	C:/Users/guilh/Desktop/chat3.1/frontendmatters.org/quicky/light-skin/chat-1.html	(from http://frontendmatters.org/quicky/light-skin/index.html)
16:35:12	291069/291069	---MCZ	200	added ('OK')	text/css	etag:%220efa735caed61:0%22	http://frontendmatters.org/quicky/assets/css/app.min.css	C:/Users/guilh/Desktop/chat3.1/frontendmatters.org/quicky/assets/css/app.min.css	(from http://frontendmatters.org/quicky/light-skin/index.html)
16:35:12	434453/434453	---M-Z	200	added ('OK')	text/html	etag:%220bb94dc5baed61:0%22	http://frontendmatters.org/quicky/light-skin/chat-2.html	C:/Users/guilh/Desktop/chat3.1/frontendmatters.org/quicky/light-skin/chat-2.html	(from http://frontendmatters.org/quicky/light-skin/index.html)
16:35:14	23625/23625	---M--	200	added ('OK')	image/png	etag:%220c939dab9d51:0%22	http://frontendmatters.org/quicky/assets/media/avatar/2.png	C:/Users/guilh/Desktop/chat3.1/frontendmatters.org/quicky/assets/media/avatar/2.png	(from http://frontendmatters.org/quicky/light-skin/index.html)
16:35:15	23566/23566	---M--	200	added ('OK')	image/png	etag:%220c939dab9d51:0%22	http://frontendmatters.org/quicky/assets/media/avatar/3.png	C:/Users/guilh/Desktop/chat3.1/frontendmatters.org/quicky/assets/media/avatar/3.png	(from http://frontendmatters.org/quicky/light-skin/index.html)
